Rank,Coach,School, Total Pay ,Conf,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pandemic Reduction,School Buyout,,as_Rank,as_Coach,as_School,as_Total Pay,as_Conf,as_Scheduled School Pay,as_Contract Year Pandemic Reduction,as_Actual School Pay,as_Total Pandemic Reduction,School Buyout,,s_Rank,s_Coach,s_School,s_Total Pay,s_Conf,s_Scheduled School Pay,s_Contract Year Pandemic Reduction,s_Actual School Pay,s_Total Pandemic Reduction,School Buyout,,Team,Win-Loss Record,Win %,MOV,ATS +/-
,,,,,,,,,,,317,Kevin Faulk,Louisiana State,"$356,325 ",SEC,"$350,000 ","$4,375 ","$345,625 ","$17,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,318,Garett Tujague,Virginia,"$355,312 ",ACC,"$365,000 ","$9,688 ","$355,312 ","$9,688 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,319,Eli Rasheed,Iowa State,"$351,000 ",Big 12,"$390,000 ","$39,000 ","$351,000 ","$39,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,320,Jim Mastro,Oregon,"$350,781 ",Pac-12,"$375,000 ","$24,219 ","$350,781 ","$24,219 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,321,Derek Sage,UCLA,"$350,000 ",Pac-12,"$350,000 ",$0 ,"$350,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,322,Brian Niedermeyer,Tennessee,"$350,000 ",SEC,"$350,000 ",$0 ,"$350,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,323,Bob Fraser,Rutgers,"$350,000 ",Big Ten,"$350,000 ",$0 ,"$350,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,324,Kwahn Drake,Kansas,"$350,000 ",Big 12,"$350,000 ",$0 ,"$350,000 ","$40,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,325,DeMarco Murray,Oklahoma,"$350,000 ",Big 12,"$350,000 ",$0 ,"$350,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,326,John Wozniak,Oklahoma State,"$350,000 ",Big 12,"$350,000 ",$0 ,"$350,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,327,Fred Whittingham,Utah,"$350,000 ",Pac-12,"$350,000 ",$0 ,"$350,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,328,Lewis Powell,Utah,"$350,000 ",Pac-12,"$350,000 ",$0 ,"$350,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,329,ShaDon Brown,Louisville,"$350,000 ",ACC,"$350,000 ",$0 ,"$350,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,330,Joe Klanderman,Kansas State,"$348,437 ",Big 12,"$375,000 ","$26,563 ","$348,437 ","$37,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,331,Tim Duffie,Oklahoma State,"$346,875 ",Big 12,"$375,000 ","$28,125 ","$346,875 ","$59,375 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,332,D.J. Smith,Missouri,"$341,250 ",SEC,"$350,000 ","$8,750 ","$341,250 ","$8,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,333,Casey Woods,Missouri,"$341,250 ",SEC,"$350,000 ","$8,750 ","$341,250 ","$8,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,334,Jimmie Dougherty,UCLA,"$340,400 ",Pac-12,"$340,400 ",$0 ,"$340,400 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,335,Frank Buffano,Kentucky,"$340,000 ",SEC,"$340,000 ",$0 ,"$340,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,336,Danny Langsdorf,Colorado,"$339,062 ",Pac-12,"$350,000 ","$10,938 ","$339,062 ","$17,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,337,Kurt Roper,NC State,"$336,875 ",ACC,"$350,000 ","$13,125 ","$336,875 ","$48,125 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,338,Bryan McClendon,Oregon,"$336,750 ",Pac-12,"$360,000 ","$23,250 ","$336,750 ","$39,917 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,339,Norval McKenzie,Louisville,"$335,000 ",ACC,"$335,000 ",$0 ,"$335,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,340,Andy Buh,Arizona,"$334,375 ",Pac-12,"$375,000 ","$40,625 ","$334,375 ","$40,625 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,341,Tim Cross,North Carolina,"$330,000 ",ACC,"$360,000 ","$30,000 ","$330,000 ","$54,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,342,Jordan Lesley,West Virginia,"$329,667 ",Big 12,"$341,000 ","$11,333 ","$329,667 ","$17,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,343,Rod Chance,Oregon,"$327,396 ",Pac-12,"$350,000 ","$22,604 ","$327,396 ","$37,188 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,344,Ken Wilson,Oregon,"$327,396 ",Pac-12,"$350,000 ","$22,604 ","$327,396 ","$37,188 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,345,Bobby Williams,Oregon,"$327,396 ",Pac-12,"$350,000 ","$22,604 ","$327,396 ","$22,604 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,346,Alex Mirabal,Oregon,"$327,396 ",Pac-12,"$350,000 ","$22,604 ","$327,396 ","$22,604 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,347,Marques Tuiasosopo,California,"$326,500 ",Pac-12,"$325,000 ",$0 ,"$325,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,348,Joe DeForest,NC State,"$325,208 ",ACC,"$350,000 ","$24,792 ","$325,208 ","$48,125 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,349,Nathan Burton,Georgia Tech,"$325,000 ",ACC,"$325,000 ",$0 ,"$325,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,350,Carnell Williams,Auburn,"$325,000 ",SEC,"$325,000 ",$0 ,"$325,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,351,Robert Rodriguez,Arizona State,"$325,000 ",Pac-12,"$325,000 ",$0 ,"$325,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,352,Mark Weber,Washington State,"$320,833 ",Pac-12,"$350,000 ","$29,167 ","$320,833 ","$29,167 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,353,Jovon Bouknight,Kentucky,"$320,000 ",SEC,"$320,000 ",$0 ,"$320,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,354,George Helow,Maryland,"$319,167 ",Big Ten,"$325,000 ","$5,833 ","$319,167 ","$10,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,355,Kevin Peoples,Indiana,"$317,308 ",Big Ten,"$330,000 ","$12,692 ","$317,308 ","$12,692 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,356,Kevin Smith,Mississippi,"$316,875 ",SEC,"$325,000 ","$8,125 ","$316,875 ","$8,125 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,357,Marcel Yates,California,"$316,800 ",Pac-12,"$320,000 ","$3,200 ","$316,800 ","$3,200 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,358,Jay Niemann,Iowa,"$316,000 ",Big Ten,"$350,000 ","$34,000 ","$316,000 ","$34,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,359,Steve Stanard,Kansas State,"$315,917 ",Big 12,"$340,000 ","$24,083 ","$315,917 ","$34,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,360,Nathan Scheelhaase,Iowa State,"$315,000 ",Big 12,"$350,000 ","$35,000 ","$315,000 ","$35,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,361,Tim Rattay,Oklahoma State,"$315,000 ",Big 12,"$315,000 ",$0 ,"$315,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,362,Brett Maxie,Colorado,"$314,844 ",Pac-12,"$325,000 ","$10,156 ","$314,844 ","$16,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,363,Mike Dawson,Nebraska,"$314,167 ",Big Ten,"$325,000 ","$10,833 ","$314,167 ","$10,833 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,364,Todd Goebbel,NC State,"$312,812 ",ACC,"$325,000 ","$12,188 ","$312,812 ","$44,688 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,365,Mike Bellamy,Illinois,"$310,275 ",Big Ten,"$315,000 ","$4,725 ","$310,275 ","$28,350 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,366,Miles Smith,Illinois,"$310,275 ",Big Ten,"$315,000 ","$4,725 ","$310,275 ","$28,350 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,367,Cory Patterson,Illinois,"$310,275 ",Big Ten,"$315,000 ","$4,725 ","$310,275 ","$28,350 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,368,Mark Banker,Washington State,"$310,000 ",Pac-12,"$310,000 ",$0 ,"$310,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,369,Andre Coleman,Texas,"$306,250 ",Big 12,"$350,000 ","$43,750 ","$306,250 ","$43,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,370,Kelton Copeland,Iowa,"$306,000 ",Big Ten,"$340,000 ","$34,000 ","$306,000 ","$34,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,371,Van Malone,Kansas State,"$301,979 ",Big 12,"$325,000 ","$23,021 ","$301,979 ","$32,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,372,Jason Ray,Kansas State,"$301,979 ",Big 12,"$325,000 ","$23,021 ","$301,979 ","$32,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,373,Collin Klein,Kansas State,"$301,979 ",Big 12,"$325,000 ","$23,021 ","$301,979 ","$32,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,374,Brian Anderson,Kansas State,"$301,979 ",Big 12,"$325,000 ","$23,021 ","$301,979 ","$32,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,375,Christian Robinson,Florida,"$301,500 ",SEC,"$301,500 ",$0 ,"$301,500 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,376,Chad Wilt,Minnesota,"$300,038 ",Big Ten,"$320,000 ","$19,962 ","$300,038 ","$19,962 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,377,Rob Wenger,Minnesota,"$300,038 ",Big Ten,"$320,000 ","$19,962 ","$300,038 ","$19,962 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,378,Kenni Burns,Minnesota,"$300,038 ",Big Ten,"$320,000 ","$19,962 ","$300,038 ","$19,962 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,379,Angus McClure,California,"$300,000 ",Pac-12,"$300,000 ",$0 ,"$300,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,380,Johnny Nansen,UCLA,"$300,000 ",Pac-12,"$300,000 ",$0 ,"$300,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,381,Anwar Stewart,Kentucky,"$300,000 ",SEC,"$300,000 ",$0 ,"$300,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,382,Wesley McGriff,Auburn,"$300,000 ",SEC,"$300,000 ",$0 ,"$300,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,383,Ricky Brumfield,Virginia,"$300,000 ",ACC,"$300,000 ",$0 ,"$300,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,384,Derek Nicholson,Louisville,"$300,000 ",ACC,"$300,000 ",$0 ,"$300,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,385,Emmett Jones,Kansas,"$300,000 ",Big 12,"$300,000 ",$0 ,"$300,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,386,Chris Wiesehan,Georgia Tech,"$300,000 ",ACC,"$300,000 ",$0 ,"$300,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,387,Michael Ghobrial,Washington State,"$297,917 ",Pac-12,"$325,000 ","$27,083 ","$297,917 ","$27,083 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,388,John Richardson,Washington State,"$297,917 ",Pac-12,"$325,000 ","$27,083 ","$297,917 ","$27,083 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,389,Charlie Ragle,California,"$297,250 ",Pac-12,"$300,000 ","$5,000 ","$295,000 ","$5,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,390,Andy Aurich,Rutgers,"$296,552 ",Big Ten,"$300,000 ","$3,448 ","$296,552 ","$3,448 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,391,Will Harris,Washington,"$294,750 ",Pac-12,"$300,000 ","$5,250 ","$294,750 ","$9,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,392,Corey Dennis,Ohio State,"$293,750 ",Big Ten,"$300,000 ","$6,250 ","$293,750 ","$11,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,393,Blake Gideon,Mississippi,"$292,500 ",SEC,"$300,000 ","$7,500 ","$292,500 ","$7,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,394,Kevin Cosgrove,Texas Tech,"$291,000 ",Big 12,"$300,000 ","$9,000 ","$291,000 ","$9,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,395,Paul Randolph,Texas Tech,"$291,000 ",Big 12,"$300,000 ","$9,000 ","$291,000 ","$9,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,396,Demetrice Martin,Colorado,"$290,625 ",Pac-12,"$300,000 ","$9,375 ","$290,625 ","$15,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,397,DeShaun Foster,UCLA,"$290,400 ",Pac-12,"$290,400 ",$0 ,"$290,400 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,398,Kyle DeVan,Arizona,"$289,792 ",Pac-12,"$325,000 ","$35,208 ","$289,792 ","$35,208 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,399,Brandon Shelby,Indiana,"$288,462 ",Big Ten,"$300,000 ","$11,538 ","$288,462 ","$11,538 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,400,Legi Suiaunoa,Oregon State,"$288,260 ",Pac-12,"$300,000 ","$11,740 ","$288,260 ","$18,099 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,401,Trent Bray,Oregon State,"$288,260 ",Pac-12,"$300,000 ","$11,740 ","$288,260 ","$18,099 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,402,Tyler Grisham,Clemson,"$288,000 ",ACC,"$300,000 ","$12,000 ","$288,000 ","$24,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,403,Jon Cooper,Arkansas,"$285,000 ",SEC,"$300,000 ","$15,000 ","$285,000 ","$27,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,404,Andre Allen,Washington State,"$284,166 ",Pac-12,"$310,000 ","$25,834 ","$284,166 ","$25,834 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,405,AJ Cooper,Washington State,"$284,166 ",Pac-12,"$310,000 ","$25,834 ","$284,166 ","$25,834 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,406,Ricky Logo,Washington State,"$284,166 ",Pac-12,"$310,000 ","$25,834 ","$284,166 ","$25,834 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,407,Matt Caponi,Iowa State,"$283,500 ",Big 12,"$315,000 ","$31,500 ","$283,500 ","$31,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,408,Travis Trickett,West Virginia,"$281,333 ",Big 12,"$291,000 ","$9,667 ","$281,333 ","$14,833 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,409,Greg Burns,Arizona,"$280,875 ",Pac-12,"$315,000 ","$34,125 ","$280,875 ","$34,125 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,410,Jay Valai,Texas,"$278,854 ",Big 12,"$300,000 ","$21,146 ","$278,854 ","$36,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,411,Mike Peterson,South Carolina,"$278,825 ",SEC,"$300,000 ","$21,175 ","$278,825 ","$21,175 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,412,Des Kitchings,South Carolina,"$278,825 ",SEC,"$300,000 ","$21,175 ","$278,825 ","$21,175 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,413,Brian Mitchell,NC State,"$278,750 ",ACC,"$300,000 ","$21,250 ","$278,750 ","$41,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,414,Buddy Wyatt,Kansas State,"$278,750 ",Big 12,"$300,000 ","$21,250 ","$278,750 ","$30,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,415,Mike Tuiasosopo,Kansas State,"$275,962 ",Big 12,"$297,000 ","$21,038 ","$275,962 ","$29,700 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,416,Terrance Jamison,Purdue,"$275,000 ",Big Ten,"$275,000 ",$0 ,"$275,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,417,Jimmy Lindsey,Illinois,"$272,250 ",Big Ten,"$275,000 ","$2,750 ","$272,250 ","$16,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,418,Augie Hoffmann,Rutgers,"$271,839 ",Big Ten,"$275,000 ","$3,161 ","$271,839 ","$3,161 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,419,Marques Hagans,Virginia,"$266,594 ",ACC,"$285,000 ","$18,406 ","$266,594 ","$18,406 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,420,Chris Barclay,Purdue,"$261,250 ",Big Ten,"$275,000 ","$13,750 ","$261,250 ","$41,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,421,Marty Biagi,Purdue,"$261,250 ",Big Ten,"$275,000 ","$13,750 ","$261,250 ","$43,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,422,Derrick Foster,Iowa,"$261,000 ",Big Ten,"$290,000 ","$29,000 ","$261,000 ","$29,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,423,Greg Richmond,Oklahoma State,"$260,000 ",Big 12,"$260,000 ",$0 ,"$260,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,424,Rod Wilson,South Carolina,"$255,590 ",SEC,"$275,000 ","$19,410 ","$255,590 ","$19,410 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,425,Mark Atuaia,Virginia,"$255,312 ",ACC,"$265,000 ","$9,688 ","$255,312 ","$9,688 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,426,Steve Farmer,Texas Tech,"$255,308 ",Big 12,"$260,000 ","$7,292 ","$252,708 ","$7,292 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,427,Brian Williams,Maryland,"$252,500 ",Big Ten,"$252,500 ",$0 ,"$252,500 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,428,Dre Bly,North Carolina,"$252,083 ",ACC,"$275,000 ","$22,917 ","$252,083 ","$41,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,429,Jason Kaufusi,UCLA,"$250,000 ",Pac-12,"$250,000 ",$0 ,"$250,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,430,Tiquan Underwood,Rutgers,"$250,000 ",Big Ten,"$250,000 ",$0 ,"$250,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,431,Brent Dearmon,Kansas,"$250,000 ",Big 12,"$250,000 ",$0 ,"$250,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,432,Colton Swan,Utah,"$250,000 ",Pac-12,"$250,000 ",$0 ,"$250,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,433,Sione Po'uha,Utah,"$250,000 ",Pac-12,"$250,000 ",$0 ,"$250,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,434,Paul Haynes,Minnesota,"$249,891 ",Big Ten,"$265,000 ","$15,109 ","$249,891 ","$15,109 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,435,Michael Pitre,Oregon State,"$247,508 ",Pac-12,"$250,008 ","$2,500 ","$247,508 ","$3,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,436,Al Davis,Illinois,"$247,500 ",Big Ten,"$250,000 ","$2,500 ","$247,500 ","$15,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,437,Adam Scheier,Rutgers,"$247,126 ",Big Ten,"$250,000 ","$2,874 ","$247,126 ","$2,874 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,438,Blue Adams,Oregon State,"$241,308 ",Pac-12,"$250,008 ","$8,700 ","$241,308 ","$13,485 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,439,Kefense Hynson,Oregon State,"$241,308 ",Pac-12,"$250,008 ","$8,700 ","$241,308 ","$13,920 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,440,Kasey Teegardin,Indiana,"$240,385 ",Big Ten,"$250,000 ","$9,615 ","$240,385 ","$9,615 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,441,Kevin Wright,Indiana,"$240,385 ",Big Ten,"$250,000 ","$9,615 ","$240,385 ","$9,615 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,442,Jeff Myers,Iowa State,"$238,950 ",Big 12,"$265,500 ","$26,550 ","$238,950 ","$26,550 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,443,Mick McCall,Iowa State,"$238,950 ",Big 12,"$265,500 ","$26,550 ","$238,950 ","$26,550 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,444,Dale Williams,Purdue,"$237,500 ",Big Ten,"$250,000 ","$12,500 ","$237,500 ","$37,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,445,Tashard Choice,Georgia Tech,"$236,000 ",ACC,"$236,000 ",$0 ,"$236,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,446,Kerry Dixon,Georgia Tech,"$235,000 ",ACC,"$235,000 ",$0 ,"$235,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,447,Joel Filani,Texas Tech,"$233,458 ",Big 12,"$240,000 ","$6,542 ","$233,458 ","$6,542 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,448,Luke Wells,Texas Tech,"$233,458 ",Big 12,"$240,000 ","$6,542 ","$233,458 ","$6,542 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,449,DeAndre Smith,Texas Tech,"$233,458 ",Big 12,"$240,000 ","$6,542 ","$233,458 ","$6,542 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,450,Shane Hunter,Virginia,"$232,250 ",ACC,"$240,000 ","$7,750 ","$232,250 ","$7,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,451,Jeff Popovich,Georgia Tech,"$230,000 ",ACC,"$230,000 ",$0 ,"$230,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452,Larry Knight,Georgia Tech,"$230,000 ",ACC,"$230,000 ",$0 ,"$230,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,453,Marco Coleman,Georgia Tech,"$230,000 ",ACC,"$230,000 ",$0 ,"$230,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,454,Nunzio Campanile,Rutgers,"$227,356 ",Big Ten,"$230,000 ","$2,644 ","$227,356 ","$2,644 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,455,Clay Patterson,Minnesota,"$227,000 ",Big Ten,"$240,000 ","$13,000 ","$227,000 ","$13,000 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,456,Jonathan Wallace,Kansas,"$225,000 ",Big 12,"$225,000 ",$0 ,"$225,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,457,Burl Toler,California,"$225,000 ",Pac-12,"$225,000 ",$0 ,"$225,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,458,Shelton Felton,Tennessee,"$225,000 ",SEC,"$225,000 ",$0 ,"$225,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,459,Brawley Evans,Maryland,"$225,000 ",Big Ten,"$225,000 ",$0 ,"$225,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,460,Kiel McDonald,Utah,"$225,000 ",Pac-12,"$225,000 ",$0 ,"$225,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,461,Joe Osovet,Tennessee,"$225,000 ",SEC,"$225,000 ",$0 ,"$225,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,462,Derham Cato,Washington,"$221,062 ",Pac-12,"$225,000 ","$3,938 ","$221,062 ","$6,750 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,463,Sean Reagan,West Virginia,"$218,500 ",Big 12,"$226,000 ","$7,500 ","$218,500 ","$11,250 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,464,Darian Hagan,Colorado,"$218,169 ",Pac-12,"$225,000 ","$7,031 ","$217,969 ","$7,031 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,465,Jake Cookus,Oregon State,"$218,055 ",Pac-12,"$225,000 ","$6,945 ","$218,055 ","$10,803 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,466,Clint Sintim,Virginia,"$217,734 ",ACC,"$225,000 ","$7,266 ","$217,734 ","$7,266 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,467,Barrett Ruud,Nebraska,"$217,500 ",Big Ten,"$225,000 ","$7,500 ","$217,500 ","$7,500 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,468,Andrew Browning,California,"$216,000 ",Pac-12,"$215,000 ",$0 ,"$215,000 ",$0 ,—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,469,Jeff Koonz,West Virginia,"$213,813 ",Big 12,"$221,000 ","$7,187 ","$213,813 ","$12,604 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,470,Rion Rhoades,Arkansas,"$213,750 ",SEC,"$225,000 ","$11,250 ","$213,750 ","$20,625 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,471,Jimmy Smith,Arkansas,"$213,750 ",SEC,"$225,000 ","$11,250 ","$213,750 ","$20,625 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,472,Sam Carter,Arkansas,"$213,750 ",SEC,"$225,000 ","$11,250 ","$213,750 ","$20,625 ",—,,,,,,,,,,,,,,,,,
,,,,,,,,,,,473,Mickey Turner,Wisconsin,"$212,500 ",Big Ten,"$250,000 ","$37,500 ","$212,500 ","$43,750 ",—,,,,,,,,,,,,,,,,,
