Rank,Coach,School, Total Pay ,Conf,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pandemic Reduction,School Buyout,,as_Rank,as_Coach,as_School,as_Total Pay,as_Conf,as_Scheduled School Pay,as_Contract Year Pandemic Reduction,as_Actual School Pay,as_Total Pandemic Reduction,School Buyout,,s_Rank,s_Coach,s_School,s_Total Pay,s_Conf,s_Scheduled School Pay,s_Contract Year Pandemic Reduction,s_Actual School Pay,s_Total Pandemic Reduction,School Buyout,,Team,Win-Loss Record,Win %,MOV,ATS +/-
34,Greg Schiano,Rutgers," $4,000,000 ",Big Ten,"$4,000,000 ",$0*,"$4,000,000 ","$266,664*","$19,218,750 ",,34,Matt Luke,Georgia,"$900,000 ",SEC,"$900,000 ",$0 ,"$900,000 ",$0 ,—,,34,Torre Becton,California,"$300,000 ",Pac-12,"$300,000 ",$0 ,"$300,000 ",$0 ,—,,N Carolina,8/4/2000,66.70%,12.2,0.9
35,Josh Heupel,Tennessee," $4,000,000 ",SEC,"$4,000,000 ",$0*,"$4,000,000 ",$0*,"$20,666,667 ",,35,Ryan Walters,Missouri,"$877,500 ",SEC,"$900,000 ","$22,500 ","$877,500 ","$22,500 ",—,,35,Corey Edmond,Kentucky,"$290,600 ",SEC,"$290,000 ",$0 ,"$290,000 ",$0 ,—,,Toledo,4/2/2000,66.70%,10.7,0.8
36,Eliah Drinkwitz,Missouri," $4,000,000 ",SEC,"$4,000,000 ",$0*,"$4,000,000 ","$100,000*","$11,550,000 ",,36,Elijah Robinson,Texas A&M,"$876,200 ",SEC,"$875,000 ",$0 ,"$875,000 ",$0 ,—,,36,Aaron Feld,Oregon,"$289,979 ",Pac-12,"$310,000 ","$20,021 ","$289,979 ","$20,021 ",—,,Colorado,4/2/2000,66.70%,-3.2,-1.2
37,Matt Campbell,Iowa State," $4,000,000 ",Big 12,"$4,000,000 ",$0*,"$4,000,000 ","$248,562*","$28,333,333 ",,37,Brad White,Kentucky,"$876,200 ",SEC,"$875,000 ",$0 ,"$875,000 ",$0 ,—,,37,Jamil Walker,Arkansas,"$285,000 ",SEC,"$300,000 ","$15,000 ","$285,000 ","$27,500 ",—,,Stanford,4/2/2000,66.70%,-2.3,0.6
38,Herm Edwards,Arizona State," $3,886,500 ",Pac-12,"$3,700,000 ",$0 ,"$3,700,000 ",$0 ,"$11,408,333 ",,38,Darrell Dickey,Texas A&M,"$867,067 ",SEC,"$866,667 ",$0 ,"$866,667 ",$0 ,—,,38,Shawn Griswold,Virginia,"$280,625 ",ACC,"$300,000 ","$19,375 ","$280,625 ","$19,375 ",—,,W Michigan,4/2/2000,66.70%,7.5,-1.9
39,Justin Fuente,Virginia Tech," $3,825,000 ",ACC,"$4,250,000 ","$425,000*","$3,825,000 ","$425,000*","$10,000,000 ",,39,Andy Ludwig,Utah,"$855,000 ",Pac-12,"$900,000 ","$45,000 ","$855,000 ","$45,000 ",—,,39,Raimond Braithwaite,Iowa,"$279,000 ",Big Ten,"$310,000 ","$31,000 ","$279,000 ","$31,000 ",—,,Ohio,2/1/2000,66.70%,17.7,0.2
40,Mike Norvell,Florida State," $3,750,000 ",ACC,"$4,250,000 ","$500,000*","$3,750,000 ","$968,750*","$16,220,833 ",,40,Joe Moorhead,Oregon,"$841,875 ",Pac-12,"$900,000 ","$58,125 ","$841,875 ","$99,792 ",—,,40,Mike McDonald,Oregon State,"$264,847 ",Pac-12,"$275,004 ","$10,157 ","$264,847 ","$15,697 ",—,,Florida,8/4/2000,66.70%,9,-2.2
41,Dave Clawson,Wake Forest," $3,611,071 ",ACC,"$3,611,071 ",—,"$3,611,071 ",—,—,,41,John Donovan,Washington,"$835,133 ",Pac-12,"$850,008 ","$14,875 ","$835,133 ","$25,813 ",—,,41,Ryan Davis,Maryland,"$257,550 ",Big Ten,"$257,550 ",$0 ,"$257,550 ",$0 ,—,,Miami (OH),2/1/2000,66.70%,2,0.2
42,Dino Babers,Syracuse," $3,504,958 ",ACC,"$3,504,958 ",—,"$3,504,958 ",—,—,,42,Jay Bateman,North Carolina,"$825,000 ",ACC,"$900,000 ","$75,000 ","$825,000 ","$135,000 ",—,,42,Joe Connolly,Arizona State,"$255,000 ",Pac-12,"$255,000 ",$0 ,"$255,000 ",$0 ,—,,UAB,6/3/2000,66.70%,7,0.4
43,Justin Wilcox,California," $3,444,996 ",Pac-12,"$3,600,000 ","$155,004*","$3,444,996 ","$228,756*","$16,158,333 ",,43,Phil Longo,North Carolina,"$825,000 ",ACC,"$900,000 ","$75,000 ","$825,000 ","$135,000 ",—,,43,Dave Scholz,Texas Tech,"$243,125 ",Big 12,"$250,000 ","$6,875 ","$243,125 ","$6,875 ",—,,GA Southern,8/5/2000,61.50%,6.5,1.3
44,Mack Brown,North Carolina," $3,431,250 ",ACC,"$2,800,000 ","$68,750*","$2,731,250 ","$112,500*","$2,406,250 ",,44,Scottie Montgomery,Maryland,"$820,125 ",Big Ten,"$829,500 ","$9,375 ","$820,125 ","$19,375 ",—,,44,Lewis Caralla,Georgia Tech,"$233,495 ",ACC,"$233,495 ",$0 ,"$233,495 ",$0 ,—,,W Virginia,6/4/2000,60.00%,6,-0.3
45,Luke Fickell,Cincinnati," $3,400,000 ",AAC,"$3,400,000 ",$0*,"$3,400,000 ","$85,000*","$20,400,000 ",,45,Bill Bedenbaugh,Oklahoma,"$810,000 ",Big 12,"$810,000 ",$0 ,"$810,000 ",$0 ,—,,45,Drew Wilson,Colorado,"$225,443 ",Pac-12,"$232,715 ","$7,272 ","$225,443 ","$7,272 ",—,,Utah,3/2/2000,60.00%,4.2,0.2
